ErrMatrixCode	Reference	Classified	PixelSum
1	1	1	1368
2	2	1	38
5	2	2	2788
9	2	3	52
13	2	4	83
4	3	1	14
8	3	2	455
12	3	3	521
15	3	4	45
7	4	1	75
11	4	2	13
16	4	4	598

	> ERROR MATRIX (pixel count)
	> Reference
V_Classified	1	2	3	4	Total
1	1368	38	14	75	1495
2	0	2788	455	13	3256
3	0	52	521	0	573
4	0	83	45	598	726
Total	1368	2961	1035	686	6050

	> AREA BASED ERROR MATRIX
	> Reference
V_Classified	1	2	3	4	Area	Wi
1	0.1992	0.0055	0.0020	0.0109	918838800.0000	0.2177
2	0.0000	0.3022	0.0493	0.0014	1489639500.0000	0.3529
3	0.0000	0.0008	0.0080	0.0000	37037700.0000	0.0088
4	0.0000	0.0481	0.0261	0.3465	1775685600.0000	0.4207
Total	0.1992 	0.3566 	0.0854 	0.3588 	4221201600.0000 
Area	840783598	1505248363	360509405	1514660234	4221201600
SE	0.0016	0.0055	0.0044	0.0061
SE area	6627775	23204794	18445973	25714273
95% CI area	12990439	45481397	36154107	50399975
PA  [%]	100.0000	84.7386	9.3414	96.5640
UA  [%]	91.5050	85.6265	90.9250	82.3691
Kappa hat	0.8939	0.7766	0.9008	0.7250

Overall accuracy [%] = 85.5824
Kappa hat classification = 0.7877

Area unit = metre^2
SE = standard error
CI = confidence interval
PA = producer's accuracy
UA = user's accuracy
